term,sumsq,meansq,NumDF,DenDF,statistic,p.value,resp,mod,n
mod,3.7360534478233083,3.7360534478233083,1,28.01681006532993,2.4243364247859542,0.13068930584835173,den,aridity_index,110
mod,6.839874151827818,6.839874151827818,1,28.236305853639553,9.650271375403983,0.004284639337815604,den,om_pct,32
mod,28.717452536196504,28.717452536196504,1,64.7533053761846,23.2525040985727,8.972426647004575e-6,den,cc_bm_Mgha,102
mod,1.587641990756764,1.587641990756764,1,7.58629843709275,0.9575718049478726,0.35796839389087726,bio,aridity_index,123
mod,3.344445667103325,3.344445667103325,1,3.332165680854509,3.2216527876777397,0.16131377620084258,bio,om_pct,44
mod,11.466234772944599,11.466234772944599,1,104.63753935154604,6.852609039294617,0.010163058191941698,bio,cc_bm_Mgha,113
